role,agent_file,task_id,n_scored,n_qualified,n_discard,hit_cap,confirmed_task,frame_index,in_discard,reason
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,71,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,72,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,74,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,75,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,76,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,77,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,80,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,82,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,83,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,84,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,85,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,86,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,87,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,88,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,89,1,all_discard
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.,90,1,all_discard
